label,accuracy,fpr,tpr,f1,tp,fp,tn,fn,tau,tau_pct,latency_ms,encoder_dims
τ at 50th percentile,68.0,66.01,95.76,0.6419,43412,24425,12575,1920,0.000146,50,0.042495,"[64, 32]"
τ at 75th percentile,73.13,37.04,81.43,0.7284,36914,13704,23296,8418,0.000256,75,0.046219,"[64, 32]"
τ at 90th percentile,75.41,14.02,66.79,0.7536,30279,5189,31811,15053,0.000428,90,0.043975,"[64, 32]"
τ at 95th percentile,68.56,8.69,49.99,0.6754,22662,3216,33784,22670,0.001207,95,0.041368,"[64, 32]"
τ at 99th percentile,60.01,1.79,28.83,0.5529,13067,662,36338,32265,0.003296,99,0.044499,"[64, 32]"
