label,accuracy,fpr,tpr,f1,tp,fp,tn,fn,tau,tau_pct,latency_ms,encoder_dims
τ at 50th percentile,80.96,40.25,97.01,0.8,12449,3909,5802,384,0.000204,50,0.048191,"[32, 16]"
τ at 75th percentile,84.15,20.64,87.77,0.841,11264,2004,7707,1569,0.000386,75,0.043224,"[32, 16]"
τ at 90th percentile,85.99,6.18,80.07,0.8605,10275,600,9111,2558,0.00137,90,0.070809,"[32, 16]"
τ at 95th percentile,82.74,4.18,72.84,0.8274,9348,406,9305,3485,0.002615,95,0.045268,"[32, 16]"
τ at 99th percentile,57.33,0.6,25.5,0.518,3272,58,9653,9561,0.026942,99,0.043233,"[32, 16]"
